ID_region,year,p1767-wyjazdy
061810000000,2005,47627
061810000000,2006,107110
061810000000,2007,139759
061810000000,2008,164117
061810000000,2009,195097
061810000000,2010,230320
061810000000,2011,247631
061810000000,2012,285919
061810000000,2013,299526
061810000000,2014,303731
061810000000,2015,324134
061810000000,2016,334236
061810000000,2017,346710
061810000000,2018,386360
061810000000,2019,385850
061810000000,2020,118498
062010000000,1999,0
062010000000,2000,0
062010000000,2001,0
062010000000,2002,0
062010000000,2003,0
062010000000,2004,0
062010000000,2005,0
062010000000,2006,0
062010000000,2007,0
062010000000,2008,0
062010000000,2009,0
062010000000,2010,0
062010000000,2011,0
062010000000,2012,0
062010000000,2013,0
062010000000,2014,0
062010000000,2015,0
062010000000,2016,0
062010000000,2017,0
062010000000,2018,0
062010000000,2019,0
062010000000,2020,0
071410000000,1999,2016616
071410000000,2000,2173468
071410000000,2001,2353684
071410000000,2002,2473890
071410000000,2003,2591613
071410000000,2004,3056664
071410000000,2005,3557914
071410000000,2006,4047724
071410000000,2007,4643775
071410000000,2008,4738332
071410000000,2009,4158246
071410000000,2010,4368526
071410000000,2011,4671558
071410000000,2012,4785361
071410000000,2013,5530505
071410000000,2014,6109139
071410000000,2015,6891649
071410000000,2016,7833931
071410000000,2017,9338190
071410000000,2018,10416548
071410000000,2019,10967722
071410000000,2020,3147799
071420000000,1999,0
071420000000,2000,0
071420000000,2001,0
071420000000,2002,0
071420000000,2003,0
071420000000,2004,0
071420000000,2005,0
071420000000,2006,0
071420000000,2007,0
071420000000,2008,0
071420000000,2009,0
071420000000,2010,0
071420000000,2011,0
071420000000,2012,0
071420000000,2013,0
071420000000,2014,0
071420000000,2015,362
071420000000,2016,4810
071420000000,2017,5241
071420000000,2018,114
071420000000,2019,0
071420000000,2020,0
