ID_region,year,p2504-4-kwartał-ogółem
011210000000,2005,2371.63
011210000000,2006,2623.08
011210000000,2007,2922.97
011210000000,2008,3141.16
011210000000,2009,3209.43
011210000000,2010,3400.12
011210000000,2011,3533.29
011210000000,2012,3632.63
011210000000,2013,3750.41
011210000000,2014,3915.68
011210000000,2015,4160.5
011210000000,2016,4212.93
011210000000,2017,4590.72
011210000000,2018,4901.28
011210000000,2019,5472.65
011210000000,2020,5843.94
012410000000,2005,2785.98
012410000000,2006,3029.49
012410000000,2007,3271.6
012410000000,2008,3594.27
012410000000,2009,3684.93
012410000000,2010,3913.18
012410000000,2011,4048.62
012410000000,2012,4274.46
012410000000,2013,4412.86
012410000000,2014,4458.74
012410000000,2015,4557.09
012410000000,2016,4534.95
012410000000,2017,4842.99
012410000000,2018,5254.44
012410000000,2019,5574.69
012410000000,2020,5951.15
020810000000,2005,2238.77
020810000000,2006,2415.26
020810000000,2007,2631.38
020810000000,2008,2842.72
020810000000,2009,2971.12
020810000000,2010,3131.01
020810000000,2011,3267.41
020810000000,2012,3386.49
020810000000,2013,3433.77
020810000000,2014,3580.76
020810000000,2015,3718.2
020810000000,2016,3962.52
020810000000,2017,4177.14
020810000000,2018,4548.38
020810000000,2019,4825.6
020810000000,2020,5112.52
023010000000,2005,2327.45
023010000000,2006,2581.84
023010000000,2007,2837.22
023010000000,2008,3089.79
023010000000,2009,3192.55
023010000000,2010,3377.13
023010000000,2011,3503.1
023010000000,2012,3591.13
023010000000,2013,3711.24
023010000000,2014,3772.3
023010000000,2015,3849.47
023010000000,2016,4007.81
023010000000,2017,4366.33
023010000000,2018,4671.96
023010000000,2019,4990.72
023010000000,2020,5220.25
023210000000,2005,2335.41
023210000000,2006,2572.23
023210000000,2007,2845.55
023210000000,2008,3080.38
023210000000,2009,3183.11
023210000000,2010,3342.12
023210000000,2011,3459.37
023210000000,2012,3598.62
023210000000,2013,3697.14
023210000000,2014,3817.55
023210000000,2015,3974.02
023210000000,2016,4176.75
023210000000,2017,4447.78
023210000000,2018,4697.97
023210000000,2019,5053.65
023210000000,2020,5444.17
030210000000,2005,2578.7
030210000000,2006,2850.2
030210000000,2007,3119.4
030210000000,2008,3383.93
030210000000,2009,3496.24
030210000000,2010,3655.84
030210000000,2011,3830.15
030210000000,2012,3879.12
030210000000,2013,4081.9
030210000000,2014,4265.88
030210000000,2015,4417.13
030210000000,2016,4616.23
030210000000,2017,4974.36
030210000000,2018,5245.92
030210000000,2019,5670.27
030210000000,2020,6039.18
031610000000,2005,2191.04
031610000000,2006,2535.46
031610000000,2007,2807.41
031610000000,2008,3079.16
031610000000,2009,3151.86
031610000000,2010,3262.76
031610000000,2011,3451.62
031610000000,2012,3453.85
031610000000,2013,3622.82
031610000000,2014,3736.76
031610000000,2015,3958.35
031610000000,2016,4132.05
031610000000,2017,4378.26
031610000000,2018,4639.48
031610000000,2019,4943.94
031610000000,2020,5350.93
040410000000,2005,2198.58
040410000000,2006,2407.93
040410000000,2007,2620.55
040410000000,2008,2849.59
040410000000,2009,2960.35
040410000000,2010,3084.37
040410000000,2011,3253.73
040410000000,2012,3328.95
040410000000,2013,3513.83
040410000000,2014,3588.51
040410000000,2015,3724.98
040410000000,2016,3848.58
040410000000,2017,4159.8
040410000000,2018,4417.46
040410000000,2019,4791.63
040410000000,2020,5092.22
042210000000,2005,2593.37
