ID_region,year,p2424-linie-kolejowe-ogółem-na-100-km2
060610000000,2004,4.1
060610000000,2005,4.3
060610000000,2006,4.3
060610000000,2007,4.3
060610000000,2008,4.3
060610000000,2009,4.3
060610000000,2010,4.1
060610000000,2011,4.1
060610000000,2012,4.2
060610000000,2013,4.1
060610000000,2014,4.1
060610000000,2015,4.1
060610000000,2016,4.2
060610000000,2017,4.2
060610000000,2018,4.2
060610000000,2019,3.9
060610000000,2020,4.3
061810000000,2002,5.5
061810000000,2003,5.6
061810000000,2004,5.5
061810000000,2005,5.5
061810000000,2006,5.5
061810000000,2007,5.5
061810000000,2008,5.6
061810000000,2009,5.7
061810000000,2010,5.8
061810000000,2011,5.7
061810000000,2012,5.7
061810000000,2013,5.2
061810000000,2014,5.5
061810000000,2015,5.5
061810000000,2016,5.5
061810000000,2017,5.0
061810000000,2018,5.5
061810000000,2019,5.5
061810000000,2020,5.5
062010000000,2002,3.9
062010000000,2003,3.4
062010000000,2004,3.3
062010000000,2005,3.4
062010000000,2006,3.4
062010000000,2007,3.5
062010000000,2008,3.8
062010000000,2009,3.8
062010000000,2010,3.8
062010000000,2011,3.8
062010000000,2012,3.5
062010000000,2013,3.4
062010000000,2014,3.2
062010000000,2015,3.2
062010000000,2016,3.2
062010000000,2017,3.6
062010000000,2018,3.8
062010000000,2019,3.7
062010000000,2020,3.7
071410000000,2002,0.0
071410000000,2003,0.0
071410000000,2004,0.0
071410000000,2005,0.0
071410000000,2006,0.0
071410000000,2007,0.0
071410000000,2008,0.0
071410000000,2009,0.0
071410000000,2010,0.0
071410000000,2011,0.0
071410000000,2012,0.0
071410000000,2013,0.0
071410000000,2014,0.0
071410000000,2015,0.0
071410000000,2016,0.0
071410000000,2017,0.0
071410000000,2018,0.0
071410000000,2019,0.0
071410000000,2020,12.2
071420000000,2002,0.0
071420000000,2003,0.0
071420000000,2004,0.0
071420000000,2005,0.0
071420000000,2006,0.0
071420000000,2007,0.0
071420000000,2008,0.0
071420000000,2009,0.0
071420000000,2010,0.0
071420000000,2011,0.0
071420000000,2012,0.0
071420000000,2013,0.0
071420000000,2014,0.0
071420000000,2015,0.0
071420000000,2016,0.0
071420000000,2017,0.0
071420000000,2018,0.0
071420000000,2019,0.0
071420000000,2020,3.3
