ID_region,year,p1767-przyjazdy
061810000000,2005,46341
061810000000,2006,100992
061810000000,2007,140238
061810000000,2008,159025
061810000000,2009,187354
061810000000,2010,223917
061810000000,2011,243694
061810000000,2012,278980
061810000000,2013,290394
061810000000,2014,297339
061810000000,2015,321080
061810000000,2016,329832
061810000000,2017,346832
061810000000,2018,384937
061810000000,2019,385038
061810000000,2020,115796
062010000000,1999,0
062010000000,2000,0
062010000000,2001,0
062010000000,2002,0
062010000000,2003,0
062010000000,2004,0
062010000000,2005,0
062010000000,2006,0
062010000000,2007,0
062010000000,2008,0
062010000000,2009,0
062010000000,2010,0
062010000000,2011,0
062010000000,2012,0
062010000000,2013,0
062010000000,2014,0
062010000000,2015,0
062010000000,2016,0
062010000000,2017,0
062010000000,2018,0
062010000000,2019,0
062010000000,2020,0
071410000000,1999,1980915
071410000000,2000,2152346
071410000000,2001,2359971
071410000000,2002,2462945
071410000000,2003,2575378
071410000000,2004,3028447
071410000000,2005,3513967
071410000000,2006,3984005
071410000000,2007,4624701
071410000000,2008,4710454
071410000000,2009,4162681
071410000000,2010,4321129
071410000000,2011,4653077
071410000000,2012,4802481
071410000000,2013,5498379
071410000000,2014,6131200
071410000000,2015,6917043
071410000000,2016,7873608
071410000000,2017,9357226
071410000000,2018,10447937
071410000000,2019,10982762
071410000000,2020,3197518
071420000000,1999,0
071420000000,2000,0
071420000000,2001,0
071420000000,2002,0
071420000000,2003,0
071420000000,2004,0
071420000000,2005,0
071420000000,2006,0
071420000000,2007,0
071420000000,2008,0
071420000000,2009,0
071420000000,2010,0
071420000000,2011,0
071420000000,2012,0
071420000000,2013,0
071420000000,2014,0
071420000000,2015,325
071420000000,2016,4525
071420000000,2017,5121
071420000000,2018,126
071420000000,2019,0
071420000000,2020,0
