ID_region,year,p2504-1-kwartał-ogółem
062010000000,2011,3371.95
062010000000,2012,3562.61
062010000000,2013,3643.7
062010000000,2014,3738.64
062010000000,2015,3870.52
062010000000,2016,3966.4
062010000000,2017,4142.86
062010000000,2018,4372.27
062010000000,2019,4678.78
062010000000,2020,5065.04
062010000000,2021,5440.95
071410000000,2005,0.0
071410000000,2006,0.0
071410000000,2007,0.0
071410000000,2008,0.0
071410000000,2009,0.0
071410000000,2010,0.0
071410000000,2011,0.0
071410000000,2012,0.0
071410000000,2013,0.0
071410000000,2014,0.0
071410000000,2015,0.0
071410000000,2016,0.0
071410000000,2017,0.0
071410000000,2018,0.0
071410000000,2019,6632.02
071410000000,2020,7082.42
071410000000,2021,7405.34
071420000000,2005,0.0
071420000000,2006,0.0
071420000000,2007,0.0
071420000000,2008,0.0
071420000000,2009,0.0
071420000000,2010,0.0
071420000000,2011,0.0
071420000000,2012,0.0
071420000000,2013,0.0
071420000000,2014,0.0
071420000000,2015,0.0
071420000000,2016,0.0
071420000000,2017,0.0
071420000000,2018,0.0
071420000000,2019,4923.37
071420000000,2020,5319.17
071420000000,2021,5727.68
