ID_region,year,p2424-linie-kolejowe-ogółem-na-10-tysięcy-ludności
061810000000,2018,4.6
061810000000,2019,4.6
061810000000,2020,4.6
062010000000,2002,6.5
062010000000,2003,5.7
062010000000,2004,5.6
062010000000,2005,5.7
062010000000,2006,5.7
062010000000,2007,5.9
062010000000,2008,6.4
062010000000,2009,6.4
062010000000,2010,6.3
062010000000,2011,6.4
062010000000,2012,5.8
062010000000,2013,5.8
062010000000,2014,5.5
062010000000,2015,5.5
062010000000,2016,5.5
062010000000,2017,6.2
062010000000,2018,6.4
062010000000,2019,6.4
062010000000,2020,6.5
071410000000,2002,0.0
071410000000,2003,0.0
071410000000,2004,0.0
071410000000,2005,0.0
071410000000,2006,0.0
071410000000,2007,0.0
071410000000,2008,0.0
071410000000,2009,0.0
071410000000,2010,0.0
071410000000,2011,0.0
071410000000,2012,0.0
071410000000,2013,0.0
071410000000,2014,0.0
071410000000,2015,0.0
071410000000,2016,0.0
071410000000,2017,0.0
071410000000,2018,0.0
071410000000,2019,0.0
071410000000,2020,2.4
071420000000,2002,0.0
071420000000,2003,0.0
071420000000,2004,0.0
071420000000,2005,0.0
071420000000,2006,0.0
071420000000,2007,0.0
071420000000,2008,0.0
071420000000,2009,0.0
071420000000,2010,0.0
071420000000,2011,0.0
071420000000,2012,0.0
071420000000,2013,0.0
071420000000,2014,0.0
071420000000,2015,0.0
071420000000,2016,0.0
071420000000,2017,0.0
071420000000,2018,0.0
071420000000,2019,0.0
071420000000,2020,4.2
