ID_region,year,p2861-przeciętna-liczba-emerytów-i-rencistów-ogółem
052610000000,2006,316490
052610000000,2007,316055
052610000000,2008,317174
052610000000,2009,317028
052610000000,2010,310885
052610000000,2011,307448
052610000000,2012,305979
052610000000,2013,302540
052610000000,2014,299783
052610000000,2015,300408
052610000000,2016,301974
052610000000,2017,302955
052610000000,2018,311121
052610000000,2019,312529
052610000000,2020,312726
060610000000,1999,623463
060610000000,2000,601868
060610000000,2001,591238
060610000000,2002,583287
060610000000,2003,576247
060610000000,2004,572526
060610000000,2005,564527
060610000000,2006,557854
060610000000,2007,553065
060610000000,2008,552021
060610000000,2009,551472
060610000000,2010,543923
060610000000,2011,533411
060610000000,2012,523258
060610000000,2013,516159
060610000000,2014,508715
060610000000,2015,507614
060610000000,2016,508444
060610000000,2017,508894
060610000000,2018,521232
060610000000,2019,523890
060610000000,2020,525098
061810000000,1999,513659
061810000000,2000,510864
061810000000,2001,500389
061810000000,2002,496365
061810000000,2003,493847
061810000000,2004,492628
061810000000,2005,486990
061810000000,2006,483522
061810000000,2007,482473
061810000000,2008,481789
061810000000,2009,481177
061810000000,2010,472174
061810000000,2011,466521
061810000000,2012,463011
061810000000,2013,458395
061810000000,2014,452801
061810000000,2015,451736
061810000000,2016,452043
061810000000,2017,451304
061810000000,2018,462754
061810000000,2019,465743
061810000000,2020,466896
062010000000,1999,355200
062010000000,2000,291695
062010000000,2001,287700
062010000000,2002,284768
062010000000,2003,283386
062010000000,2004,282145
062010000000,2005,279096
062010000000,2006,276913
062010000000,2007,275893
062010000000,2008,276065
062010000000,2009,278088
062010000000,2010,276277
062010000000,2011,269976
062010000000,2012,264110
062010000000,2013,260316
062010000000,2014,256927
062010000000,2015,257862
062010000000,2016,259299
062010000000,2017,260271
062010000000,2018,268673
062010000000,2019,270730
062010000000,2020,271895
071410000000,1999,0
071410000000,2000,0
071410000000,2001,0
071410000000,2002,0
071410000000,2003,0
071410000000,2004,0
071410000000,2005,0
071410000000,2006,0
071410000000,2007,0
071410000000,2008,0
071410000000,2009,0
071410000000,2010,0
071410000000,2011,0
071410000000,2012,0
071410000000,2013,0
071410000000,2014,0
071410000000,2015,0
071410000000,2016,0
071410000000,2017,0
071410000000,2018,0
071410000000,2019,0
071410000000,2020,0
071420000000,1999,0
071420000000,2000,0
071420000000,2001,0
071420000000,2002,0
071420000000,2003,0
071420000000,2004,0
071420000000,2005,0
071420000000,2006,0
071420000000,2007,0
071420000000,2008,0
071420000000,2009,0
071420000000,2010,0
071420000000,2011,0
071420000000,2012,0
071420000000,2013,0
071420000000,2014,0
071420000000,2015,0
071420000000,2016,0
071420000000,2017,0
071420000000,2018,0
071420000000,2019,0
071420000000,2020,0
