ID_region,year,p1767-tranzyt
011210000000,1999,18493
011210000000,2000,22327
011210000000,2001,15579
011210000000,2002,14616
011210000000,2003,26739
011210000000,2004,27662
011210000000,2005,17292
011210000000,2006,13444
011210000000,2007,21100
011210000000,2008,15240
011210000000,2009,15542
011210000000,2010,20466
011210000000,2011,12388
011210000000,2012,18802
011210000000,2013,5778
011210000000,2014,4234
011210000000,2015,7370
011210000000,2016,2880
011210000000,2017,1124
011210000000,2018,2437
011210000000,2019,1809
011210000000,2020,415
012410000000,1999,9300
012410000000,2000,7180
012410000000,2001,6945
012410000000,2002,5251
012410000000,2003,10330
012410000000,2004,14813
012410000000,2005,9167
012410000000,2006,12760
012410000000,2007,13639
012410000000,2008,9437
012410000000,2009,20963
012410000000,2010,21795
012410000000,2011,32710
012410000000,2012,24455
012410000000,2013,24655
012410000000,2014,21806
012410000000,2015,21221
012410000000,2016,16882
012410000000,2017,7046
012410000000,2018,8254
012410000000,2019,7349
012410000000,2020,4904
020810000000,1999,0
020810000000,2000,0
020810000000,2001,0
020810000000,2002,0
020810000000,2003,0
020810000000,2004,0
020810000000,2005,0
020810000000,2006,0
020810000000,2007,0
020810000000,2008,0
020810000000,2009,296
020810000000,2010,397
020810000000,2011,0
020810000000,2012,0
020810000000,2013,0
020810000000,2014,0
020810000000,2015,0
020810000000,2016,0
020810000000,2017,0
020810000000,2018,0
020810000000,2019,0
020810000000,2020,0
023010000000,1999,19304
023010000000,2000,23202
023010000000,2001,13100
023010000000,2002,12540
023010000000,2003,16841
023010000000,2004,34987
023010000000,2005,20475
023010000000,2006,18875
023010000000,2007,25964
023010000000,2008,0
023010000000,2009,29628
023010000000,2010,28496
023010000000,2011,29945
023010000000,2012,27893
023010000000,2013,19093
023010000000,2014,15367
023010000000,2015,17108
023010000000,2016,15256
023010000000,2017,5482
023010000000,2018,6200
023010000000,2019,2224
023010000000,2020,2342
023210000000,1999,8
023210000000,2000,271
023210000000,2001,249
023210000000,2002,365
023210000000,2003,265
023210000000,2004,401
023210000000,2005,1308
023210000000,2006,2256
023210000000,2007,2565
023210000000,2008,4048
023210000000,2009,14336
023210000000,2010,7959
023210000000,2011,2413
023210000000,2012,1250
023210000000,2013,0
023210000000,2014,0
023210000000,2015,0
023210000000,2016,0
023210000000,2017,0
023210000000,2018,0
023210000000,2019,0
023210000000,2020,0
030210000000,1999,0
030210000000,2000,156
030210000000,2001,0
030210000000,2002,0
030210000000,2003,0
030210000000,2004,0
030210000000,2005,0
030210000000,2006,0
030210000000,2007,0
030210000000,2008,2898
030210000000,2009,17615
030210000000,2010,25134
030210000000,2011,16098
030210000000,2012,17482
030210000000,2013,13343
030210000000,2014,62767
030210000000,2015,14296
030210000000,2016,10050
030210000000,2017,5889
030210000000,2018,3495
030210000000,2019,2384
030210000000,2020,2100
031610000000,1999,0
031610000000,2000,0
031610000000,2001,0
031610000000,2002,0
031610000000,2003,0
031610000000,2004,0
031610000000,2005,0
031610000000,2006,0
031610000000,2007,0
031610000000,2008,0
031610000000,2009,0
031610000000,2010,0
031610000000,2011,0
031610000000,2012,0
031610000000,2013,0
031610000000,2014,0
031610000000,2015,0
031610000000,2016,0
031610000000,2017,0
031610000000,2018,0
031610000000,2019,0
031610000000,2020,0
040410000000,1999,0
040410000000,2000,0
040410000000,2001,0
040410000000,2002,0
040410000000,2003,0
040410000000,2004,0
040410000000,2005,0
040410000000,2006,0
040410000000,2007,196
040410000000,2008,86
040410000000,2009,9312
040410000000,2010,12164
040410000000,2011,3142
040410000000,2012,18418
040410000000,2013,12099
040410000000,2014,13246
040410000000,2015,6153
040410000000,2016,3380
040410000000,2017,3003
040410000000,2018,1396
040410000000,2019,350
040410000000,2020,244
042210000000,1999,13352
042210000000,2000,6829
042210000000,2001,851
042210000000,2002,0
042210000000,2003,0
042210000000,2004,2035
042210000000,2005,4293
042210000000,2006,6261
042210000000,2007,12780
042210000000,2008,3115
042210000000,2009,12766
042210000000,2010,16682
042210000000,2011,7409
042210000000,2012,7955
042210000000,2013,8584
042210000000,2014,10267
042210000000,2015,10804
042210000000,2016,3429
042210000000,2017,1110
042210000000,2018,83
042210000000,2019,0
042210000000,2020,532
042810000000,1999,0
042810000000,2000,0
042810000000,2001,0
042810000000,2002,0
042810000000,2003,114
042810000000,2004,0
042810000000,2005,0
042810000000,2006,0
042810000000,2007,0
042810000000,2008,0
042810000000,2009,0
042810000000,2010,0
042810000000,2011,0
042810000000,2012,0
042810000000,2013,0
042810000000,2014,0
042810000000,2015,0
042810000000,2016,0
042810000000,2017,0
042810000000,2018,0
042810000000,2019,216
042810000000,2020,0
