ID_region,year,p1767-udział-ruchu-pasażerów-polska-100
062010000000,2015,0.0
062010000000,2016,0.0
062010000000,2017,0.0
062010000000,2018,0.0
062010000000,2019,0.0
062010000000,2020,0.0
071410000000,2003,73.1
071410000000,2004,68.5
071410000000,2005,61.4
071410000000,2006,52.4
071410000000,2007,48.5
071410000000,2008,45.6
071410000000,2009,43.6
071410000000,2010,42.3
071410000000,2011,42.8
071410000000,2012,40.5
071410000000,2013,44.0
071410000000,2014,45.2
071410000000,2015,45.3
071410000000,2016,46.1
071410000000,2017,46.7
071410000000,2018,45.6
071410000000,2019,44.8
071410000000,2020,43.5
071420000000,2003,0.0
071420000000,2004,0.0
071420000000,2005,0.0
071420000000,2006,0.0
071420000000,2007,0.0
071420000000,2008,0.0
071420000000,2009,0.0
071420000000,2010,0.0
071420000000,2011,0.0
071420000000,2012,0.0
071420000000,2013,0.0
071420000000,2014,0.0
071420000000,2015,0.0
071420000000,2016,0.0
071420000000,2017,0.0
071420000000,2018,0.0
071420000000,2019,0.0
071420000000,2020,0.0
