ID_powiatu,year,p3350-stopień-wykorzystania-miejsc-noclegowych
012414403000,2020,29.7
012414417000,2010,25.2
012414417000,2011,21.2
012414417000,2012,21.9
012414417000,2013,18.0
012414417000,2014,17.4
012414417000,2015,19.4
012414417000,2016,23.3
012414417000,2017,25.3
012414417000,2018,27.0
012414417000,2019,27.8
012414417000,2020,19.0
012414461000,2010,29.8
012414461000,2011,26.9
012414461000,2012,28.1
012414461000,2013,30.2
012414461000,2014,32.7
012414461000,2015,34.1
012414461000,2016,34.7
012414461000,2017,37.4
012414461000,2018,37.9
012414461000,2019,37.0
012414461000,2020,22.3
012414507000,2010,19.8
012414507000,2011,15.1
012414507000,2012,13.6
012414507000,2013,17.1
012414507000,2014,16.3
012414507000,2015,16.0
012414507000,2016,16.2
012414507000,2017,20.2
012414507000,2018,20.4
012414507000,2019,22.4
012414507000,2020,13.2
012414513000,2010,21.4
012414513000,2011,23.0
012414513000,2012,18.3
012414513000,2013,19.3
012414513000,2014,22.9
012414513000,2015,23.8
012414513000,2016,27.7
012414513000,2017,28.3
012414513000,2018,30.3
012414513000,2019,32.2
012414513000,2020,16.1
012414562000,2010,31.7
012414562000,2011,16.1
012414562000,2012,18.4
012414562000,2013,28.2
012414562000,2014,36.8
012414562000,2015,36.1
012414562000,2016,29.6
012414562000,2017,41.0
012414562000,2018,41.1
012414562000,2019,41.7
012414562000,2020,31.8
012414571000,2010,34.6
012414571000,2011,28.2
012414571000,2012,28.9
012414571000,2013,27.5
012414571000,2014,26.8
012414571000,2015,25.9
012414571000,2016,33.1
012414571000,2017,37.9
012414571000,2018,39.8
012414571000,2019,37.5
012414571000,2020,22.8
012414604000,2010,21.9
012414604000,2011,20.6
012414604000,2012,18.5
012414604000,2013,14.1
012414604000,2014,14.4
012414604000,2015,12.2
012414604000,2016,14.3
012414604000,2017,16.1
012414604000,2018,18.0
012414604000,2019,16.0
012414604000,2020,8.0
012414606000,2010,60.3
012414606000,2011,37.1
012414606000,2012,39.2
012414606000,2013,43.5
012414606000,2014,41.4
012414606000,2015,44.6
012414606000,2016,37.8
012414606000,2017,39.6
012414606000,2018,37.9
012414606000,2019,39.4
012414606000,2020,20.8
012414609000,2010,20.9
012414609000,2011,26.0
012414609000,2012,24.9
012414609000,2013,17.6
012414609000,2014,18.4
012414609000,2015,18.5
012414609000,2016,20.6
012414609000,2017,20.6
012414609000,2018,28.4
012414609000,2019,31.8
012414609000,2020,21.9
012414664000,2010,31.3
012414664000,2011,32.4
012414664000,2012,35.1
012414664000,2013,32.0
012414664000,2014,33.2
012414664000,2015,35.8
012414664000,2016,38.9
012414664000,2017,39.2
012414664000,2018,41.5
012414664000,2019,43.4
012414664000,2020,22.9
012414705000,2010,30.7
012414705000,2011,33.7
012414705000,2012,28.5
012414705000,2013,26.3
012414705000,2014,27.9
012414705000,2015,27.5
012414705000,2016,27.6
012414705000,2017,28.2
012414705000,2018,46.3
012414705000,2019,41.8
012414705000,2020,26.3
012414766000,2010,34.7
012414766000,2011,34.8
012414766000,2012,35.1
012414766000,2013,33.2
012414766000,2014,33.8
012414766000,2015,36.1
012414766000,2016,35.1
012414766000,2017,32.6
012414766000,2018,35.1
012414766000,2019,34.1
012414766000,2020,18.8
012414778000,2010,35.8
012414778000,2011,35.3
012414778000,2012,34.2
012414778000,2013,36.1
012414778000,2014,36.9
012414778000,2015,40.1
012414778000,2016,41.0
012414778000,2017,40.5
012414778000,2018,44.0
012414778000,2019,39.9
012414778000,2020,20.7
012414863000,2010,19.7
012414863000,2011,22.9
012414863000,2012,27.3
012414863000,2013,28.7
012414863000,2014,25.4
012414863000,2015,27.5
012414863000,2016,35.9
012414863000,2017,39.0
012414863000,2018,46.3
012414863000,2019,45.1
012414863000,2020,21.0
012414869000,2010,33.3
012414869000,2011,34.3
012414869000,2012,34.2
012414869000,2013,37.0
012414869000,2014,42.9
012414869000,2015,44.5
012414869000,2016,47.6
012414869000,2017,46.8
012414869000,2018,48.3
012414869000,2019,47.6
012414869000,2020,21.6
012414870000,2010,0.0
012414870000,2011,0.0
012414870000,2012,0.0
012414870000,2013,0.0
012414870000,2014,0.0
012414870000,2015,0.0
012414870000,2016,0.0
012414870000,2017,0.0
012414870000,2018,0.0
012414870000,2019,0.0
012414870000,2020,0.0
012414872000,2010,54.9
012414872000,2011,46.1
012414872000,2012,48.5
012414872000,2013,42.3
012414872000,2014,40.3
012414872000,2015,34.7
012414872000,2016,52.2
012414872000,2017,55.2
012414872000,2018,48.8
012414872000,2019,45.3
012414872000,2020,35.0
012414874000,2010,33.2
012414874000,2011,28.8
012414874000,2012,29.0
012414874000,2013,30.0
012414874000,2014,31.0
012414874000,2015,27.7
012414874000,2016,31.8
012414874000,2017,35.0
012414874000,2018,37.9
012414874000,2019,36.4
012414874000,2020,21.2
012414876000,2010,0.0
012414876000,2011,0.0
012414876000,2012,0.0
012414876000,2013,0.0
012414876000,2014,0.0
012414876000,2015,0.0
012414876000,2016,0.0
012414876000,2017,0.0
012414876000,2018,0.0
012414876000,2019,0.0
012414876000,2020,0.0
012414911000,2010,26.5
012414911000,2011,24.3
012414911000,2012,25.2
012414911000,2013,24.5
012414911000,2014,28.2
012414911000,2015,26.0
012414911000,2016,32.2
012414911000,2017,32.8
012414911000,2018,35.0
012414911000,2019,38.5
012414911000,2020,24.2
012414912000,2010,0.0
012414912000,2011,0.0
012414912000,2012,0.0
012414912000,2013,0.0
012414912000,2014,0.0
012414912000,2015,0.0
012414912000,2016,0.0
012414912000,2017,0.0
012414912000,2018,0.0
012414912000,2019,0.0
012414912000,2020,0.0
012414915000,2010,32.1
012414915000,2011,33.6
012414915000,2012,30.2
012414915000,2013,31.4
012414915000,2014,35.7
012414915000,2015,34.7
012414915000,2016,31.0
012414915000,2017,33.7
012414915000,2018,37.6
012414915000,2019,37.5
012414915000,2020,22.3
012414967000,2010,40.8
012414967000,2011,43.0
012414967000,2012,20.3
012414967000,2013,22.3
012414967000,2014,23.5
