ID_powiatu,year,p2013-hotele-kategorii-s
061813301000,2013,0
061813301000,2014,0
061813301000,2015,0
061813301000,2016,0
061813301000,2017,0
061813301000,2018,0
061813301000,2019,1
061813301000,2020,1
061813302000,1995,0
061813302000,1996,0
061813302000,1997,0
061813302000,1998,1
061813302000,1999,1
061813302000,2000,1
061813302000,2001,1
061813302000,2002,0
061813302000,2003,0
061813302000,2004,0
061813302000,2005,0
061813302000,2006,0
061813302000,2007,0
061813302000,2008,0
061813302000,2009,0
061813302000,2010,0
061813302000,2011,0
061813302000,2012,0
061813302000,2013,0
061813302000,2014,0
061813302000,2015,0
061813302000,2016,0
061813302000,2017,0
061813302000,2018,0
061813302000,2019,0
061813302000,2020,0
061813305000,1995,1
061813305000,1996,1
061813305000,1997,1
061813305000,1998,1
061813305000,1999,2
061813305000,2000,0
061813305000,2001,0
061813305000,2002,0
061813305000,2003,0
061813305000,2004,0
061813305000,2005,0
061813305000,2006,0
061813305000,2007,0
061813305000,2008,0
061813305000,2009,0
061813305000,2010,0
061813305000,2011,0
061813305000,2012,0
061813305000,2013,0
061813305000,2014,0
061813305000,2015,1
061813305000,2016,1
061813305000,2017,1
061813305000,2018,1
061813305000,2019,1
061813305000,2020,1
061813307000,1995,0
061813307000,1996,0
061813307000,1997,0
061813307000,1998,0
061813307000,1999,1
061813307000,2000,2
061813307000,2001,1
061813307000,2002,1
061813307000,2003,1
061813307000,2004,1
061813307000,2005,0
061813307000,2006,1
061813307000,2007,1
061813307000,2008,0
061813307000,2009,0
061813307000,2010,0
061813307000,2011,0
061813307000,2012,0
061813307000,2013,0
061813307000,2014,0
061813307000,2015,0
061813307000,2016,0
061813307000,2017,0
061813307000,2018,0
061813307000,2019,0
061813307000,2020,0
061813317000,1995,0
061813317000,1996,0
061813317000,1997,0
061813317000,1998,0
061813317000,1999,0
061813317000,2000,0
061813317000,2001,0
061813317000,2002,0
061813317000,2003,0
061813317000,2004,0
061813317000,2005,0
061813317000,2006,0
061813317000,2007,0
061813317000,2008,0
061813317000,2009,0
061813317000,2010,0
061813317000,2011,0
061813317000,2012,0
061813317000,2013,0
061813317000,2014,0
061813317000,2015,0
061813317000,2016,0
061813317000,2017,0
061813317000,2018,0
061813317000,2019,0
061813317000,2020,0
061813321000,2002,0
061813321000,2003,0
061813321000,2004,0
061813321000,2005,0
061813321000,2006,0
061813321000,2007,0
061813321000,2008,0
061813321000,2009,0
061813321000,2010,0
061813321000,2011,0
061813321000,2012,0
061813321000,2013,0
061813321000,2014,0
061813321000,2015,0
061813321000,2016,0
061813321000,2017,0
061813321000,2018,0
061813321000,2019,0
061813321000,2020,0
061813361000,1995,0
061813361000,1996,0
061813361000,1997,0
061813361000,1998,0
061813361000,1999,0
061813361000,2000,0
061813361000,2001,0
061813361000,2002,0
061813361000,2003,0
061813361000,2004,0
061813361000,2005,0
061813361000,2006,0
061813361000,2007,0
061813361000,2008,1
061813361000,2009,0
061813361000,2010,0
061813361000,2011,1
061813361000,2012,0
061813361000,2013,0
061813361000,2014,1
061813361000,2015,1
061813361000,2016,1
061813361000,2017,1
061813361000,2018,1
061813361000,2019,1
061813361000,2020,1
061813404000,1995,0
061813404000,1996,1
061813404000,1997,2
061813404000,1998,3
061813404000,1999,2
061813404000,2000,1
061813404000,2001,0
061813404000,2002,0
061813404000,2003,0
061813404000,2004,0
061813404000,2005,0
061813404000,2006,0
061813404000,2007,0
061813404000,2008,0
061813404000,2009,0
061813404000,2010,0
061813404000,2011,0
061813404000,2012,1
061813404000,2013,1
061813404000,2014,1
061813404000,2015,1
061813404000,2016,1
061813404000,2017,1
061813404000,2018,1
061813404000,2019,1
061813404000,2020,1
061813409000,1995,0
061813409000,1996,0
061813409000,1997,0
061813409000,1998,0
061813409000,1999,0
061813409000,2000,0
061813409000,2001,0
061813409000,2002,0
061813409000,2003,0
061813409000,2004,0
061813409000,2005,0
061813409000,2006,0
061813409000,2007,0
061813409000,2008,0
061813409000,2009,0
061813409000,2010,0
061813409000,2011,0
061813409000,2012,0
061813409000,2013,0
061813409000,2014,0
061813409000,2015,0
061813409000,2016,0
061813409000,2017,0
061813409000,2018,0
061813409000,2019,0
061813409000,2020,0
061813413000,1995,0
061813413000,1996,1
061813413000,1997,0
061813413000,1998,2
061813413000,1999,2
061813413000,2000,0
061813413000,2001,0
061813413000,2002,0
061813413000,2003,0
061813413000,2004,0
061813413000,2005,0
061813413000,2006,0
061813413000,2007,0
061813413000,2008,0
061813413000,2009,0
061813413000,2010,0
061813413000,2011,0
061813413000,2012,0
061813413000,2013,0
061813413000,2014,0
061813413000,2015,0
061813413000,2016,0
061813413000,2017,0
061813413000,2018,0
061813413000,2019,0
061813413000,2020,0
061813414000,1995,0
061813414000,1996,1
061813414000,1997,1
061813414000,1998,1
061813414000,1999,1
061813414000,2000,1
061813414000,2001,0
061813414000,2002,0
061813414000,2003,0
061813414000,2004,0
061813414000,2005,0
061813414000,2006,0
061813414000,2007,0
061813414000,2008,0
061813414000,2009,0
061813414000,2010,0
061813414000,2011,0
061813414000,2012,0
061813414000,2013,0
061813414000,2014,0
061813414000,2015,0
061813414000,2016,0
061813414000,2017,0
061813414000,2018,0
061813414000,2019,0
061813414000,2020,0
061813462000,1995,0
061813462000,1996,2
061813462000,1997,4
061813462000,1998,4
061813462000,1999,4
061813462000,2000,1
061813462000,2001,2
061813462000,2002,2
061813462000,2003,1
061813462000,2004,1
061813462000,2005,2
061813462000,2006,1
061813462000,2007,1
061813462000,2008,1
061813462000,2009,0
061813462000,2010,0
061813462000,2011,0
061813462000,2012,1
061813462000,2013,1
061813462000,2014,1
061813462000,2015,1
061813462000,2016,1
061813462000,2017,1
061813462000,2018,1
061813462000,2019,1
061813462000,2020,1
061813506000,1995,0
061813506000,1996,0
061813506000,1997,0
061813506000,1998,0
061813506000,1999,0
061813506000,2000,0
061813506000,2001,0
061813506000,2002,0
061813506000,2003,0
061813506000,2004,0
061813506000,2005,0
061813506000,2006,0
061813506000,2007,0
061813506000,2008,0
