ID_powiatu,year,p2013-hotele-4-i-5-gwiazdkowemotelepensjonaty-w-ogólnej-liczbie-hotelimotelipensjonatów-ogółem
011212303000,2020,0.0
011212312000,2002,0.0
011212312000,2003,0.0
011212312000,2004,0.0
011212312000,2005,0.0
011212312000,2006,0.0
011212312000,2007,0.0
011212312000,2008,0.0
011212312000,2009,0.0
011212312000,2010,0.0
011212312000,2011,0.0
011212312000,2012,0.0
011212312000,2013,0.0
011212312000,2014,0.0
011212312000,2015,0.0
011212312000,2016,0.0
011212312000,2017,0.0
011212312000,2018,0.0
011212312000,2019,0.0
011212312000,2020,0.0
011212313000,2002,0.0
011212313000,2003,0.0
011212313000,2004,0.0
011212313000,2005,0.0
011212313000,2006,0.0
011212313000,2007,0.0
011212313000,2008,0.0
011212313000,2009,0.0
011212313000,2010,0.0
011212313000,2011,0.0
011212313000,2012,0.0
011212313000,2013,0.0
011212313000,2014,0.0
011212313000,2015,0.0
011212313000,2016,0.0
011212313000,2017,22.22
011212313000,2018,18.18
011212313000,2019,16.67
011212313000,2020,16.67
011212318000,2002,0.0
011212318000,2003,0.0
011212318000,2004,0.0
011212318000,2005,0.0
011212318000,2006,0.0
011212318000,2007,20.0
011212318000,2008,25.0
011212318000,2009,20.0
011212318000,2010,14.29
011212318000,2011,12.5
011212318000,2012,11.11
011212318000,2013,25.0
011212318000,2014,33.33
011212318000,2015,33.33
011212318000,2016,45.45
011212318000,2017,45.45
011212318000,2018,45.45
011212318000,2019,45.45
011212318000,2020,45.45
011212402000,2002,0.0
011212402000,2003,0.0
011212402000,2004,0.0
011212402000,2005,0.0
011212402000,2006,0.0
011212402000,2007,0.0
011212402000,2008,0.0
011212402000,2009,0.0
011212402000,2010,0.0
011212402000,2011,0.0
011212402000,2012,0.0
011212402000,2013,0.0
011212402000,2014,0.0
011212402000,2015,0.0
011212402000,2016,0.0
011212402000,2017,0.0
011212402000,2018,0.0
011212402000,2019,0.0
011212402000,2020,0.0
011212404000,2002,0.0
011212404000,2003,0.0
011212404000,2004,0.0
011212404000,2005,0.0
011212404000,2006,0.0
011212404000,2007,0.0
011212404000,2008,0.0
011212404000,2009,0.0
011212404000,2010,0.0
011212404000,2011,0.0
011212404000,2012,0.0
011212404000,2013,100.0
011212404000,2014,100.0
011212404000,2015,100.0
011212404000,2016,100.0
011212404000,2017,100.0
011212404000,2018,100.0
011212404000,2019,100.0
011212404000,2020,0.0
011212416000,2002,0.0
011212416000,2003,0.0
011212416000,2004,0.0
011212416000,2005,0.0
011212416000,2006,0.0
011212416000,2007,0.0
011212416000,2008,0.0
011212416000,2009,0.0
011212416000,2010,0.0
011212416000,2011,0.0
011212416000,2012,0.0
011212416000,2013,0.0
011212416000,2014,0.0
011212416000,2015,0.0
011212416000,2016,0.0
011212416000,2017,0.0
011212416000,2018,0.0
011212416000,2019,12.5
011212416000,2020,12.5
011212463000,2002,0.0
011212463000,2003,0.0
011212463000,2004,33.33
011212463000,2005,33.33
011212463000,2006,25.0
011212463000,2007,25.0
011212463000,2008,25.0
011212463000,2009,25.0
011212463000,2010,25.0
011212463000,2011,20.0
011212463000,2012,14.29
011212463000,2013,14.29
011212463000,2014,14.29
011212463000,2015,12.5
011212463000,2016,12.5
011212463000,2017,12.5
011212463000,2018,12.5
011212463000,2019,12.5
011212463000,2020,12.5
011216911000,2002,6.25
011216911000,2003,10.53
011216911000,2004,0.0
011216911000,2005,0.0
011216911000,2006,0.0
011216911000,2007,0.0
011216911000,2008,0.0
011216911000,2009,3.33
011216911000,2010,6.45
011216911000,2011,9.09
011216911000,2012,9.68
011216911000,2013,9.38
011216911000,2014,11.43
011216911000,2015,10.53
011216911000,2016,10.26
011216911000,2017,7.14
011216911000,2018,6.67
011216911000,2019,8.7
011216911000,2020,11.63
011216915000,2002,0.0
011216915000,2003,0.0
011216915000,2004,0.0
011216915000,2005,0.0
011216915000,2006,0.0
011216915000,2007,0.0
011216915000,2008,0.0
011216915000,2009,0.0
011216915000,2010,0.0
011216915000,2011,0.0
011216915000,2012,0.0
011216915000,2013,0.0
011216915000,2014,0.0
011216915000,2015,0.0
011216915000,2016,0.0
011216915000,2017,0.0
011216915000,2018,0.0
011216915000,2019,0.0
011216915000,2020,0.0
011216917000,2002,10.0
011216917000,2003,9.38
011216917000,2004,8.57
011216917000,2005,8.82
011216917000,2006,8.57
011216917000,2007,8.33
011216917000,2008,10.53
011216917000,2009,12.5
011216917000,2010,11.9
011216917000,2011,17.02
011216917000,2012,19.15
011216917000,2013,20.0
011216917000,2014,19.61
011216917000,2015,20.75
011216917000,2016,21.67
011216917000,2017,23.88
011216917000,2018,22.73
011216917000,2019,20.55
011216917000,2020,25.33
012414402000,2002,0.0
012414402000,2003,0.0
012414402000,2004,0.0
012414402000,2005,0.0
012414402000,2006,20.0
012414402000,2007,0.0
012414402000,2008,25.0
012414402000,2009,25.0
012414402000,2010,33.33
012414402000,2011,22.22
012414402000,2012,27.27
012414402000,2013,30.0
012414402000,2014,36.36
012414402000,2015,36.36
012414402000,2016,33.33
012414402000,2017,25.0
012414402000,2018,30.0
012414402000,2019,33.33
012414402000,2020,33.33
012414403000,2002,0.0
012414403000,2003,3.03
012414403000,2004,6.9
012414403000,2005,12.5
012414403000,2006,9.09
012414403000,2007,15.0
012414403000,2008,17.86
012414403000,2009,16.67
012414403000,2010,13.51
012414403000,2011,13.89
012414403000,2012,16.13
012414403000,2013,14.29
012414403000,2014,14.29
012414403000,2015,12.9
012414403000,2016,15.63
012414403000,2017,16.13
012414403000,2018,16.13
012414403000,2019,16.13
012414403000,2020,19.35
012414417000,2002,0.0
012414417000,2003,0.0
012414417000,2004,0.0
012414417000,2005,0.0
012414417000,2006,20.0
012414417000,2007,20.0
012414417000,2008,0.0
012414417000,2009,20.0
012414417000,2010,0.0
012414417000,2011,0.0
012414417000,2012,0.0
012414417000,2013,14.29
012414417000,2014,14.29
012414417000,2015,12.5
012414417000,2016,16.67
012414417000,2017,16.67
012414417000,2018,15.38
012414417000,2019,14.29
012414417000,2020,15.38
012414461000,2002,0.0
012414461000,2003,16.67
012414461000,2004,16.67
012414461000,2005,16.67
012414461000,2006,16.67
012414461000,2007,20.0
012414461000,2008,16.67
012414461000,2009,28.57
012414461000,2010,28.57
012414461000,2011,37.5
012414461000,2012,42.86
012414461000,2013,44.44
012414461000,2014,50.0
012414461000,2015,45.45
012414461000,2016,38.46
012414461000,2017,35.71
012414461000,2018,35.71
012414461000,2019,29.41
012414461000,2020,26.67
012414507000,2002,0.0
012414507000,2003,0.0
012414507000,2004,0.0
012414507000,2005,100.0
012414507000,2006,100.0
012414507000,2007,100.0
012414507000,2008,100.0
012414507000,2009,100.0
012414507000,2010,100.0
012414507000,2011,50.0
012414507000,2012,33.33
012414507000,2013,33.33
012414507000,2014,33.33
012414507000,2015,25.0
012414507000,2016,25.0
012414507000,2017,25.0
012414507000,2018,25.0
012414507000,2019,25.0
012414507000,2020,0.0
012414513000,2002,0.0
012414513000,2003,0.0
012414513000,2004,0.0
012414513000,2005,0.0
012414513000,2006,0.0
012414513000,2007,0.0
012414513000,2008,0.0
012414513000,2009,14.29
012414513000,2010,14.29
012414513000,2011,12.5
012414513000,2012,12.5
012414513000,2013,12.5
012414513000,2014,12.5
012414513000,2015,14.29
012414513000,2016,14.29
012414513000,2017,12.5
012414513000,2018,12.5
012414513000,2019,11.11
012414513000,2020,12.5
012414562000,2002,0.0
012414562000,2003,0.0
012414562000,2004,0.0
012414562000,2005,0.0
012414562000,2006,0.0
012414562000,2007,0.0
012414562000,2008,0.0
012414562000,2009,0.0
012414562000,2010,0.0
012414562000,2011,0.0
012414562000,2012,0.0
012414562000,2013,0.0
012414562000,2014,0.0
012414562000,2015,0.0
012414562000,2016,0.0
012414562000,2017,33.33
012414562000,2018,50.0
012414562000,2019,50.0
012414562000,2020,100.0
012414571000,2002,0.0
012414571000,2003,0.0
012414571000,2004,0.0
012414571000,2005,0.0
012414571000,2006,0.0
012414571000,2007,0.0
012414571000,2008,0.0
012414571000,2009,0.0
012414571000,2010,0.0
012414571000,2011,0.0
012414571000,2012,0.0
012414571000,2013,0.0
012414571000,2014,20.0
012414571000,2015,20.0
012414571000,2016,20.0
012414571000,2017,20.0
012414571000,2018,20.0
012414571000,2019,20.0
012414571000,2020,20.0
012414604000,2002,0.0
012414604000,2003,0.0
012414604000,2004,0.0
012414604000,2005,0.0
012414604000,2006,0.0
012414604000,2007,0.0
012414604000,2008,0.0
012414604000,2009,0.0
012414604000,2010,0.0
012414604000,2011,0.0
012414604000,2012,0.0
012414604000,2013,0.0
012414604000,2014,0.0
012414604000,2015,0.0
012414604000,2016,0.0
012414604000,2017,0.0
012414604000,2018,0.0
012414604000,2019,0.0
012414604000,2020,0.0
012414606000,2002,0.0
012414606000,2003,0.0
012414606000,2004,0.0
012414606000,2005,0.0
012414606000,2006,0.0
012414606000,2007,0.0
012414606000,2008,0.0
012414606000,2009,0.0
012414606000,2010,0.0
012414606000,2011,0.0
012414606000,2012,0.0
012414606000,2013,0.0
012414606000,2014,0.0
012414606000,2015,0.0
