ID_powiatu,year,p2596-zieleńce-obiekty
011212463000,2015,62
011212463000,2016,62
011212463000,2017,62
011212463000,2018,62
011212463000,2019,62
011212463000,2020,62
011216911000,2004,8
011216911000,2005,9
011216911000,2006,9
011216911000,2007,9
011216911000,2008,10
011216911000,2009,10
011216911000,2010,10
011216911000,2011,10
011216911000,2012,10
011216911000,2013,10
011216911000,2014,10
011216911000,2015,10
011216911000,2016,10
011216911000,2017,17
011216911000,2018,18
011216911000,2019,19
011216911000,2020,20
011216915000,2004,8
011216915000,2005,8
011216915000,2006,8
011216915000,2007,8
011216915000,2008,7
011216915000,2009,8
011216915000,2010,8
011216915000,2011,8
011216915000,2012,8
011216915000,2013,8
011216915000,2014,8
011216915000,2015,8
011216915000,2016,8
011216915000,2017,8
011216915000,2018,8
011216915000,2019,8
011216915000,2020,8
011216917000,2004,6
011216917000,2005,6
011216917000,2006,6
011216917000,2007,6
011216917000,2008,6
011216917000,2009,6
011216917000,2010,6
011216917000,2011,6
011216917000,2012,6
011216917000,2013,7
011216917000,2014,7
011216917000,2015,7
011216917000,2016,7
011216917000,2017,8
011216917000,2018,8
011216917000,2019,7
011216917000,2020,7
012414402000,2004,8
012414402000,2005,8
012414402000,2006,8
012414402000,2007,27
012414402000,2008,27
012414402000,2009,28
012414402000,2010,31
012414402000,2011,31
012414402000,2012,36
012414402000,2013,36
012414402000,2014,41
012414402000,2015,41
012414402000,2016,41
012414402000,2017,41
012414402000,2018,41
012414402000,2019,41
012414402000,2020,42
012414403000,2004,82
012414403000,2005,82
012414403000,2006,88
012414403000,2007,88
012414403000,2008,88
012414403000,2009,96
012414403000,2010,99
012414403000,2011,97
012414403000,2012,98
012414403000,2013,99
012414403000,2014,101
012414403000,2015,100
012414403000,2016,106
012414403000,2017,107
012414403000,2018,114
012414403000,2019,116
012414403000,2020,117
012414417000,2004,29
012414417000,2005,32
012414417000,2006,34
012414417000,2007,36
012414417000,2008,36
012414417000,2009,37
012414417000,2010,38
012414417000,2011,38
012414417000,2012,38
012414417000,2013,38
012414417000,2014,38
012414417000,2015,38
012414417000,2016,38
012414417000,2017,38
012414417000,2018,38
012414417000,2019,39
012414417000,2020,39
012414461000,2004,98
012414461000,2005,98
012414461000,2006,97
012414461000,2007,97
012414461000,2008,97
012414461000,2009,97
012414461000,2010,97
012414461000,2011,97
012414461000,2012,98
012414461000,2013,98
012414461000,2014,98
012414461000,2015,117
012414461000,2016,119
012414461000,2017,121
012414461000,2018,121
012414461000,2019,124
012414461000,2020,127
012414507000,2004,65
012414507000,2005,65
012414507000,2006,65
012414507000,2007,69
012414507000,2008,70
012414507000,2009,75
012414507000,2010,83
012414507000,2011,86
012414507000,2012,86
012414507000,2013,86
012414507000,2014,89
012414507000,2015,89
012414507000,2016,89
012414507000,2017,106
012414507000,2018,105
012414507000,2019,117
012414507000,2020,118
012414513000,2004,45
012414513000,2005,45
012414513000,2006,45
012414513000,2007,45
012414513000,2008,48
012414513000,2009,48
012414513000,2010,61
012414513000,2011,61
012414513000,2012,61
012414513000,2013,61
012414513000,2014,67
012414513000,2015,67
012414513000,2016,67
012414513000,2017,68
012414513000,2018,68
012414513000,2019,69
012414513000,2020,70
012414562000,2004,134
012414562000,2005,134
012414562000,2006,134
012414562000,2007,136
012414562000,2008,136
012414562000,2009,136
012414562000,2010,136
012414562000,2011,20
012414562000,2012,20
012414562000,2013,20
012414562000,2014,20
012414562000,2015,20
012414562000,2016,20
012414562000,2017,20
012414562000,2018,20
012414562000,2019,20
012414562000,2020,124
012414571000,2004,16
012414571000,2005,16
012414571000,2006,16
012414571000,2007,16
012414571000,2008,16
012414571000,2009,16
012414571000,2010,16
012414571000,2011,16
012414571000,2012,16
012414571000,2013,16
012414571000,2014,16
012414571000,2015,16
012414571000,2016,16
012414571000,2017,18
012414571000,2018,18
012414571000,2019,18
012414571000,2020,18
012414604000,2004,2
012414604000,2005,2
012414604000,2006,4
012414604000,2007,4
012414604000,2008,4
012414604000,2009,7
012414604000,2010,7
012414604000,2011,7
012414604000,2012,7
012414604000,2013,7
012414604000,2014,9
012414604000,2015,24
012414604000,2016,24
012414604000,2017,24
012414604000,2018,24
012414604000,2019,24
012414604000,2020,24
012414606000,2004,9
012414606000,2005,15
012414606000,2006,15
012414606000,2007,15
012414606000,2008,15
012414606000,2009,14
012414606000,2010,15
012414606000,2011,16
012414606000,2012,16
012414606000,2013,16
