ID_powiatu,year,p2596-parki-spacerowo-wypoczynkowe-obiekty
011212001000,2004,2
011212001000,2005,2
011212001000,2006,2
011212001000,2007,2
011212001000,2008,2
011212001000,2009,2
011212001000,2010,2
011212001000,2011,2
011212001000,2012,2
011212001000,2013,2
011212001000,2014,2
011212001000,2015,2
011212001000,2016,2
011212001000,2017,3
011212001000,2018,3
011212001000,2019,3
011212001000,2020,3
011212006000,2004,4
011212006000,2005,4
011212006000,2006,5
011212006000,2007,6
011212006000,2008,6
011212006000,2009,6
011212006000,2010,6
011212006000,2011,7
011212006000,2012,7
011212006000,2013,8
011212006000,2014,8
011212006000,2015,8
011212006000,2016,8
011212006000,2017,8
011212006000,2018,8
011212006000,2019,8
011212006000,2020,8
011212008000,2004,1
011212008000,2005,1
011212008000,2006,1
011212008000,2007,1
011212008000,2008,1
011212008000,2009,1
011212008000,2010,1
011212008000,2011,1
011212008000,2012,1
011212008000,2013,1
011212008000,2014,1
011212008000,2015,1
011212008000,2016,1
011212008000,2017,1
011212008000,2018,1
011212008000,2019,1
011212008000,2020,1
011212009000,2004,2
011212009000,2005,2
011212009000,2006,2
011212009000,2007,2
011212009000,2008,2
011212009000,2009,2
011212009000,2010,2
011212009000,2011,3
011212009000,2012,3
011212009000,2013,3
011212009000,2014,3
011212009000,2015,3
011212009000,2016,3
011212009000,2017,3
011212009000,2018,3
011212009000,2019,3
011212009000,2020,3
011212014000,2004,1
011212014000,2005,1
011212014000,2006,1
011212014000,2007,1
011212014000,2008,2
011212014000,2009,2
011212014000,2010,2
011212014000,2011,2
011212014000,2012,2
011212014000,2013,2
011212014000,2014,2
011212014000,2015,2
011212014000,2016,2
011212014000,2017,2
011212014000,2018,2
011212014000,2019,2
011212014000,2020,2
011212019000,2004,5
011212019000,2005,5
011212019000,2006,5
011212019000,2007,6
011212019000,2008,6
011212019000,2009,6
011212019000,2010,6
011212019000,2011,6
011212019000,2012,6
011212019000,2013,6
011212019000,2014,6
011212019000,2015,6
011212019000,2016,6
011212019000,2017,6
011212019000,2018,6
011212019000,2019,6
011212019000,2020,7
011212161000,2004,39
011212161000,2005,39
011212161000,2006,39
011212161000,2007,39
011212161000,2008,40
011212161000,2009,40
011212161000,2010,40
011212161000,2011,41
011212161000,2012,41
011212161000,2013,41
011212161000,2014,42
011212161000,2015,42
011212161000,2016,45
011212161000,2017,45
011212161000,2018,45
011212161000,2019,45
011212161000,2020,45
011212205000,2004,2
011212205000,2005,3
011212205000,2006,3
011212205000,2007,3
011212205000,2008,3
011212205000,2009,3
011212205000,2010,3
011212205000,2011,3
011212205000,2012,3
011212205000,2013,3
011212205000,2014,3
011212205000,2015,3
011212205000,2016,3
011212205000,2017,3
011212205000,2018,3
011212205000,2019,3
011212205000,2020,3
011212207000,2004,2
011212207000,2005,2
011212207000,2006,2
011212207000,2007,2
011212207000,2008,2
011212207000,2009,2
011212207000,2010,2
011212207000,2011,2
011212207000,2012,2
011212207000,2013,2
011212207000,2014,2
011212207000,2015,2
011212207000,2016,2
011212207000,2017,2
011212207000,2018,2
011212207000,2019,2
011212207000,2020,2
011212210000,2004,7
011212210000,2005,8
011212210000,2006,8
011212210000,2007,8
011212210000,2008,8
011212210000,2009,7
011212210000,2010,8
011212210000,2011,8
011212210000,2012,13
011212210000,2013,13
011212210000,2014,13
011212210000,2015,14
011212210000,2016,14
011212210000,2017,14
011212210000,2018,14
011212210000,2019,15
011212210000,2020,15
011212262000,2004,3
011212262000,2005,3
011212262000,2006,3
011212262000,2007,3
011212262000,2008,3
011212262000,2009,3
011212262000,2010,3
011212262000,2011,3
011212262000,2012,3
011212262000,2013,3
011212262000,2014,3
011212262000,2015,3
011212262000,2016,3
011212262000,2017,3
011212262000,2018,3
011212262000,2019,3
011212262000,2020,3
011212303000,2004,13
011212303000,2005,15
011212303000,2006,15
011212303000,2007,15
011212303000,2008,15
011212303000,2009,15
011212303000,2010,15
011212303000,2011,15
011212303000,2012,15
011212303000,2013,15
011212303000,2014,15
011212303000,2015,15
011212303000,2016,15
011212303000,2017,19
011212303000,2018,19
011212303000,2019,19
011212303000,2020,19
011212312000,2004,2
011212312000,2005,3
011212312000,2006,3
011212312000,2007,3
011212312000,2008,3
011212312000,2009,3
011212312000,2010,3
011212312000,2011,3
011212312000,2012,3
011212312000,2013,3
011212312000,2014,3
011212312000,2015,3
011212312000,2016,4
011212312000,2017,4
011212312000,2018,4
011212312000,2019,6
011212312000,2020,6
011212313000,2004,7
011212313000,2005,8
011212313000,2006,10
011212313000,2007,10
011212313000,2008,10
011212313000,2009,10
011212313000,2010,10
011212313000,2011,10
011212313000,2012,10
011212313000,2013,10
011212313000,2014,10
011212313000,2015,12
011212313000,2016,11
011212313000,2017,11
011212313000,2018,11
011212313000,2019,11
011212313000,2020,11
011212318000,2004,2
011212318000,2005,2
011212318000,2006,2
011212318000,2007,3
011212318000,2008,3
011212318000,2009,3
011212318000,2010,3
011212318000,2011,3
011212318000,2012,3
011212318000,2013,3
011212318000,2014,3
011212318000,2015,3
011212318000,2016,3
011212318000,2017,3
011212318000,2018,3
011212318000,2019,3
011212318000,2020,3
011212402000,2004,0
011212402000,2005,1
011212402000,2006,1
011212402000,2007,1
011212402000,2008,1
011212402000,2009,1
011212402000,2010,1
011212402000,2011,1
011212402000,2012,1
011212402000,2013,1
011212402000,2014,1
011212402000,2015,2
011212402000,2016,2
011212402000,2017,2
011212402000,2018,2
011212402000,2019,2
011212402000,2020,2
011212404000,2004,1
011212404000,2005,1
011212404000,2006,1
011212404000,2007,1
011212404000,2008,1
011212404000,2009,1
011212404000,2010,1
011212404000,2011,1
011212404000,2012,1
011212404000,2013,1
011212404000,2014,1
011212404000,2015,2
011212404000,2016,2
011212404000,2017,2
011212404000,2018,2
011212404000,2019,2
011212404000,2020,2
011212416000,2004,1
011212416000,2005,2
011212416000,2006,2
011212416000,2007,3
011212416000,2008,3
011212416000,2009,3
011212416000,2010,3
011212416000,2011,5
011212416000,2012,7
011212416000,2013,8
011212416000,2014,8
011212416000,2015,8
011212416000,2016,8
011212416000,2017,8
011212416000,2018,8
011212416000,2019,8
011212416000,2020,8
011212463000,2004,6
011212463000,2005,6
011212463000,2006,6
011212463000,2007,6
011212463000,2008,6
011212463000,2009,6
011212463000,2010,6
011212463000,2011,6
011212463000,2012,6
011212463000,2013,6
011212463000,2014,6
011212463000,2015,6
011212463000,2016,6
011212463000,2017,6
011212463000,2018,6
011212463000,2019,6
011212463000,2020,6
011216911000,2004,5
011216911000,2005,5
011216911000,2006,5
011216911000,2007,5
011216911000,2008,2
011216911000,2009,2
011216911000,2010,2
011216911000,2011,2
011216911000,2012,2
011216911000,2013,2
011216911000,2014,2
011216911000,2015,2
