ID_powiatu,year,p2596-zieleń-uliczna-powierzchnia
011212402000,2013,1.0
011212402000,2014,1.0
011212402000,2015,1.0
011212402000,2016,1.0
011212402000,2017,1.0
011212402000,2018,1.0
011212402000,2019,1.0
011212402000,2020,1.0
011212404000,2004,0.7
011212404000,2005,0.7
011212404000,2006,0.7
011212404000,2007,0.7
011212404000,2008,0.7
011212404000,2009,0.7
011212404000,2010,0.7
011212404000,2011,0.7
011212404000,2012,0.7
011212404000,2013,0.7
011212404000,2014,0.5
011212404000,2015,0.7
011212404000,2016,0.7
011212404000,2017,0.7
011212404000,2018,0.7
011212404000,2019,0.7
011212404000,2020,0.7
011212416000,2004,0.1
011212416000,2005,0.1
011212416000,2006,0.1
011212416000,2007,0.1
011212416000,2008,0.1
011212416000,2009,0.1
011212416000,2010,0.1
011212416000,2011,0.1
011212416000,2012,0.1
011212416000,2013,0.1
011212416000,2014,0.1
011212416000,2015,0.1
011212416000,2016,0.1
011212416000,2017,0.1
011212416000,2018,0.1
011212416000,2019,0.1
011212416000,2020,0.1
011212463000,2004,13.5
011212463000,2005,13.5
011212463000,2006,13.5
011212463000,2007,13.5
011212463000,2008,13.5
011212463000,2009,13.5
011212463000,2010,13.5
011212463000,2011,13.5
011212463000,2012,13.5
011212463000,2013,13.5
011212463000,2014,13.5
011212463000,2015,13.5
011212463000,2016,13.5
011212463000,2017,13.5
011212463000,2018,13.5
011212463000,2019,13.5
011212463000,2020,13.5
011216911000,2004,7.0
011216911000,2005,7.0
011216911000,2006,7.0
011216911000,2007,7.0
011216911000,2008,7.0
011216911000,2009,7.0
011216911000,2010,7.0
011216911000,2011,7.0
011216911000,2012,7.0
011216911000,2013,7.0
011216911000,2014,7.0
011216911000,2015,7.0
011216911000,2016,7.0
011216911000,2017,19.39
011216911000,2018,19.39
011216911000,2019,19.44
011216911000,2020,19.44
011216915000,2004,10.3
011216915000,2005,10.3
011216915000,2006,10.3
011216915000,2007,10.3
011216915000,2008,10.2
011216915000,2009,10.3
011216915000,2010,10.3
011216915000,2011,10.3
011216915000,2012,10.3
011216915000,2013,10.3
011216915000,2014,10.3
011216915000,2015,10.3
011216915000,2016,10.3
011216915000,2017,10.3
011216915000,2018,10.3
011216915000,2019,10.4
011216915000,2020,10.4
011216917000,2004,5.9
011216917000,2005,5.9
011216917000,2006,5.9
011216917000,2007,5.9
011216917000,2008,5.9
011216917000,2009,5.9
011216917000,2010,5.9
011216917000,2011,5.9
011216917000,2012,5.5
011216917000,2013,4.4
011216917000,2014,4.4
011216917000,2015,4.4
011216917000,2016,4.4
011216917000,2017,4.4
011216917000,2018,4.4
011216917000,2019,4.4
011216917000,2020,4.4
012414402000,2004,5.6
012414402000,2005,5.6
012414402000,2006,5.6
012414402000,2007,21.2
012414402000,2008,21.2
012414402000,2009,24.2
012414402000,2010,24.2
012414402000,2011,24.2
012414402000,2012,24.2
012414402000,2013,24.2
012414402000,2014,24.2
012414402000,2015,24.2
012414402000,2016,24.2
012414402000,2017,24.2
012414402000,2018,24.2
012414402000,2019,24.2
012414402000,2020,24.2
012414403000,2004,12.7
012414403000,2005,12.7
012414403000,2006,13.0
012414403000,2007,13.0
012414403000,2008,83.1
012414403000,2009,83.5
012414403000,2010,83.5
012414403000,2011,83.5
012414403000,2012,83.5
012414403000,2013,83.5
012414403000,2014,83.5
012414403000,2015,83.0
012414403000,2016,83.28
012414403000,2017,83.28
012414403000,2018,83.28
012414403000,2019,83.28
012414403000,2020,83.28
012414417000,2004,1.9
012414417000,2005,1.9
012414417000,2006,2.9
012414417000,2007,3.2
012414417000,2008,47.2
012414417000,2009,47.2
012414417000,2010,47.2
012414417000,2011,47.2
012414417000,2012,47.2
012414417000,2013,47.2
012414417000,2014,47.2
012414417000,2015,47.2
012414417000,2016,45.2
012414417000,2017,45.2
012414417000,2018,45.2
012414417000,2019,45.2
012414417000,2020,45.2
012414461000,2004,57.3
012414461000,2005,57.3
012414461000,2006,57.3
012414461000,2007,57.3
012414461000,2008,84.9
012414461000,2009,84.9
012414461000,2010,81.1
012414461000,2011,81.1
012414461000,2012,81.1
012414461000,2013,82.2
012414461000,2014,86.28
012414461000,2015,89.0
012414461000,2016,89.0
012414461000,2017,95.5
012414461000,2018,102.6
012414461000,2019,108.0
012414461000,2020,105.0
012414507000,2004,5.1
012414507000,2005,5.1
012414507000,2006,5.1
012414507000,2007,5.1
012414507000,2008,5.1
012414507000,2009,5.1
012414507000,2010,5.1
012414507000,2011,5.1
012414507000,2012,5.1
012414507000,2013,5.1
012414507000,2014,5.1
012414507000,2015,5.1
012414507000,2016,5.1
012414507000,2017,10.73
012414507000,2018,10.73
012414507000,2019,10.73
012414507000,2020,10.73
012414513000,2004,30.1
012414513000,2005,30.1
012414513000,2006,30.2
012414513000,2007,30.2
012414513000,2008,30.2
012414513000,2009,30.0
012414513000,2010,37.2
012414513000,2011,37.2
012414513000,2012,71.1
012414513000,2013,71.1
012414513000,2014,71.1
012414513000,2015,71.1
012414513000,2016,71.22
012414513000,2017,76.95
012414513000,2018,77.28
012414513000,2019,74.56
012414513000,2020,79.15
012414562000,2004,55.7
012414562000,2005,55.7
012414562000,2006,55.7
012414562000,2007,59.3
012414562000,2008,59.3
012414562000,2009,59.3
012414562000,2010,76.1
012414562000,2011,76.1
012414562000,2012,96.0
012414562000,2013,111.4
012414562000,2014,111.4
012414562000,2015,111.44
012414562000,2016,113.69
012414562000,2017,113.78
012414562000,2018,113.78
012414562000,2019,113.78
012414562000,2020,102.29
012414571000,2004,4.0
012414571000,2005,4.0
