ID_powiatu,year,p2497-przeciętne-miesięczne-wynagrodzenia-brutto-w-relacji-do-średniej-krajowej-polska100
011212313000,2016,88.8
011212313000,2017,89.4
011212313000,2018,89.2
011212313000,2019,89.1
011212313000,2020,88.9
011212318000,2002,76.0
011212318000,2003,77.0
011212318000,2004,76.7
011212318000,2005,74.8
011212318000,2006,74.3
011212318000,2007,75.7
011212318000,2008,74.9
011212318000,2009,75.2
011212318000,2010,74.9
011212318000,2011,74.6
011212318000,2012,74.0
011212318000,2013,75.5
011212318000,2014,75.0
011212318000,2015,75.1
011212318000,2016,76.5
011212318000,2017,77.2
011212318000,2018,77.8
011212318000,2019,78.9
011212318000,2020,80.7
011212402000,2002,77.3
011212402000,2003,74.8
011212402000,2004,72.7
011212402000,2005,70.7
011212402000,2006,72.5
011212402000,2007,74.3
011212402000,2008,74.3
011212402000,2009,74.3
011212402000,2010,76.6
011212402000,2011,74.7
011212402000,2012,75.4
011212402000,2013,75.5
011212402000,2014,76.1
011212402000,2015,76.4
011212402000,2016,75.4
011212402000,2017,76.1
011212402000,2018,76.3
011212402000,2019,76.3
011212402000,2020,76.9
011212404000,2002,74.8
011212404000,2003,75.8
011212404000,2004,77.0
011212404000,2005,76.8
011212404000,2006,76.9
011212404000,2007,78.4
011212404000,2008,78.0
011212404000,2009,77.6
011212404000,2010,78.7
011212404000,2011,78.1
011212404000,2012,79.3
011212404000,2013,78.8
011212404000,2014,79.4
011212404000,2015,78.2
011212404000,2016,78.9
011212404000,2017,80.7
011212404000,2018,78.5
011212404000,2019,78.9
011212404000,2020,80.1
011212416000,2002,70.2
011212416000,2003,72.8
011212416000,2004,72.5
011212416000,2005,71.9
011212416000,2006,73.0
011212416000,2007,73.7
011212416000,2008,72.6
011212416000,2009,74.5
011212416000,2010,75.5
011212416000,2011,74.7
011212416000,2012,73.7
011212416000,2013,72.9
011212416000,2014,73.6
011212416000,2015,73.5
011212416000,2016,73.6
011212416000,2017,73.1
011212416000,2018,72.6
011212416000,2019,72.9
011212416000,2020,75.1
011212463000,2002,82.3
011212463000,2003,84.2
011212463000,2004,84.0
011212463000,2005,82.6
011212463000,2006,83.5
011212463000,2007,84.8
011212463000,2008,85.2
011212463000,2009,86.6
011212463000,2010,87.8
011212463000,2011,89.0
011212463000,2012,89.4
011212463000,2013,88.9
011212463000,2014,87.8
011212463000,2015,88.4
011212463000,2016,88.4
011212463000,2017,87.2
011212463000,2018,86.1
011212463000,2019,100.7
011212463000,2020,101.9
011216911000,2002,76.9
011216911000,2003,75.9
011216911000,2004,74.7
011216911000,2005,75.2
011216911000,2006,73.4
011216911000,2007,72.7
011216911000,2008,73.9
011216911000,2009,75.2
011216911000,2010,74.6
011216911000,2011,74.0
011216911000,2012,74.4
011216911000,2013,74.3
011216911000,2014,75.9
011216911000,2015,75.2
011216911000,2016,74.4
011216911000,2017,75.1
011216911000,2018,76.8
011216911000,2019,76.1
011216911000,2020,78.5
011216915000,2002,78.7
011216915000,2003,81.0
011216915000,2004,79.3
011216915000,2005,78.9
011216915000,2006,79.2
011216915000,2007,80.4
011216915000,2008,80.4
011216915000,2009,79.6
011216915000,2010,79.2
011216915000,2011,80.0
011216915000,2012,81.1
011216915000,2013,79.3
011216915000,2014,79.3
011216915000,2015,80.1
011216915000,2016,79.4
011216915000,2017,81.2
011216915000,2018,81.8
011216915000,2019,81.3
011216915000,2020,81.2
011216917000,2002,78.8
011216917000,2003,81.3
011216917000,2004,82.0
011216917000,2005,80.3
011216917000,2006,81.5
011216917000,2007,81.8
011216917000,2008,80.5
011216917000,2009,82.7
011216917000,2010,81.6
011216917000,2011,83.5
011216917000,2012,84.5
011216917000,2013,84.5
011216917000,2014,84.9
011216917000,2015,84.8
011216917000,2016,86.0
011216917000,2017,86.5
011216917000,2018,86.7
011216917000,2019,86.1
011216917000,2020,84.3
012414402000,2002,84.0
012414402000,2003,83.0
012414402000,2004,82.4
012414402000,2005,80.6
012414402000,2006,80.4
012414402000,2007,82.4
012414402000,2008,81.0
012414402000,2009,80.7
012414402000,2010,84.1
012414402000,2011,84.2
012414402000,2012,87.2
012414402000,2013,86.2
012414402000,2014,86.2
012414402000,2015,87.0
012414402000,2016,87.2
012414402000,2017,88.3
012414402000,2018,87.1
012414402000,2019,88.1
012414402000,2020,87.3
012414403000,2002,83.2
012414403000,2003,84.0
012414403000,2004,80.9
012414403000,2005,80.9
012414403000,2006,81.2
012414403000,2007,83.3
012414403000,2008,81.7
012414403000,2009,81.7
012414403000,2010,82.7
012414403000,2011,82.4
012414403000,2012,82.7
012414403000,2013,82.0
012414403000,2014,82.3
012414403000,2015,83.3
012414403000,2016,83.1
012414403000,2017,83.3
012414403000,2018,85.0
012414403000,2019,84.8
012414403000,2020,84.4
012414417000,2002,101.1
012414417000,2003,99.4
012414417000,2004,100.3
012414417000,2005,97.6
012414417000,2006,97.3
012414417000,2007,97.6
012414417000,2008,93.6
012414417000,2009,96.7
012414417000,2010,98.8
012414417000,2011,98.1
012414417000,2012,99.1
012414417000,2013,99.2
012414417000,2014,101.6
012414417000,2015,97.8
012414417000,2016,95.6
012414417000,2017,99.7
012414417000,2018,94.7
012414417000,2019,92.0
012414417000,2020,90.7
012414461000,2002,94.8
012414461000,2003,95.9
012414461000,2004,95.1
012414461000,2005,94.1
012414461000,2006,95.3
012414461000,2007,97.0
012414461000,2008,98.5
012414461000,2009,98.4
012414461000,2010,98.4
012414461000,2011,96.5
012414461000,2012,95.5
012414461000,2013,97.5
012414461000,2014,98.2
012414461000,2015,98.1
012414461000,2016,98.9
012414461000,2017,98.2
012414461000,2018,97.9
012414461000,2019,98.5
012414461000,2020,96.3
012414507000,2002,80.6
012414507000,2003,80.9
012414507000,2004,79.1
012414507000,2005,80.2
012414507000,2006,79.6
012414507000,2007,81.0
012414507000,2008,82.8
012414507000,2009,81.0
012414507000,2010,82.8
012414507000,2011,82.0
012414507000,2012,83.3
012414507000,2013,81.9
012414507000,2014,82.5
012414507000,2015,82.2
012414507000,2016,82.9
012414507000,2017,82.4
012414507000,2018,88.9
012414507000,2019,83.3
012414507000,2020,84.4
012414513000,2002,81.1
012414513000,2003,82.6
012414513000,2004,83.6
012414513000,2005,83.8
012414513000,2006,84.3
012414513000,2007,84.8
012414513000,2008,82.3
012414513000,2009,83.4
012414513000,2010,83.3
012414513000,2011,84.3
012414513000,2012,83.4
012414513000,2013,82.4
012414513000,2014,82.6
012414513000,2015,86.0
012414513000,2016,87.3
012414513000,2017,87.7
012414513000,2018,90.3
012414513000,2019,89.9
012414513000,2020,88.0
012414562000,2002,101.7
012414562000,2003,88.9
012414562000,2004,85.1
012414562000,2005,85.7
012414562000,2006,86.8
012414562000,2007,86.5
