ID_powiatu,year,p2670-ogółem
011212001000,2003,9.6
011212001000,2004,8.7
011212001000,2005,7.6
011212001000,2006,5.5
011212001000,2007,4.0
011212001000,2008,3.2
011212001000,2009,5.0
011212001000,2010,5.2
011212001000,2011,5.7
011212001000,2012,6.8
011212001000,2013,6.6
011212001000,2014,5.6
011212001000,2015,4.2
011212001000,2016,3.8
011212001000,2017,3.2
011212001000,2018,2.9
011212001000,2019,1.7
011212001000,2020,2.7
011212006000,2003,7.7
011212006000,2004,6.9
011212006000,2005,6.0
011212006000,2006,4.7
011212006000,2007,3.8
011212006000,2008,3.4
011212006000,2009,5.2
011212006000,2010,5.9
011212006000,2011,5.5
011212006000,2012,5.8
011212006000,2013,5.8
011212006000,2014,4.7
011212006000,2015,3.8
011212006000,2016,3.5
011212006000,2017,2.9
011212006000,2018,2.7
011212006000,2019,2.3
011212006000,2020,3.5
011212008000,2003,10.6
011212008000,2004,9.6
011212008000,2005,8.7
011212008000,2006,7.2
011212008000,2007,5.3
011212008000,2008,4.6
011212008000,2009,6.0
011212008000,2010,6.5
011212008000,2011,7.7
011212008000,2012,7.9
011212008000,2013,8.3
011212008000,2014,6.6
011212008000,2015,6.2
011212008000,2016,4.7
011212008000,2017,3.9
011212008000,2018,3.2
011212008000,2019,2.8
011212008000,2020,3.8
011212009000,2003,11.1
011212009000,2004,10.3
011212009000,2005,9.0
011212009000,2006,6.5
011212009000,2007,4.7
011212009000,2008,4.7
011212009000,2009,6.8
011212009000,2010,7.5
011212009000,2011,7.8
011212009000,2012,8.3
011212009000,2013,8.0
011212009000,2014,6.2
011212009000,2015,4.4
011212009000,2016,2.9
011212009000,2017,1.8
011212009000,2018,1.7
011212009000,2019,1.5
011212009000,2020,2.5
011212014000,2003,9.4
011212014000,2004,8.8
011212014000,2005,8.2
011212014000,2006,7.0
011212014000,2007,5.4
011212014000,2008,5.7
011212014000,2009,7.2
011212014000,2010,8.0
011212014000,2011,7.7
011212014000,2012,8.5
011212014000,2013,8.7
011212014000,2014,7.5
011212014000,2015,6.4
011212014000,2016,5.5
011212014000,2017,4.9
011212014000,2018,4.3
011212014000,2019,3.1
011212014000,2020,3.9
011212019000,2003,9.6
011212019000,2004,8.9
011212019000,2005,7.8
011212019000,2006,5.8
011212019000,2007,4.2
011212019000,2008,3.1
011212019000,2009,4.9
011212019000,2010,5.4
011212019000,2011,5.7
011212019000,2012,6.3
011212019000,2013,6.5
011212019000,2014,4.9
011212019000,2015,4.1
011212019000,2016,3.7
011212019000,2017,2.9
011212019000,2018,2.8
011212019000,2019,2.6
011212019000,2020,3.5
011212161000,2003,6.0
011212161000,2004,5.3
011212161000,2005,5.0
011212161000,2006,4.0
011212161000,2007,2.9
011212161000,2008,2.1
011212161000,2009,3.2
011212161000,2010,3.8
011212161000,2011,3.9
011212161000,2012,4.9
011212161000,2013,5.1
011212161000,2014,4.6
011212161000,2015,4.2
011212161000,2016,3.5
011212161000,2017,2.8
011212161000,2018,2.5
