ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-pozostałe-kraje
011216911000,2009,333
011216911000,2010,283
011216911000,2011,306
011216911000,2012,410
011216911000,2013,483
011216911000,2014,393
011216911000,2015,330
011216911000,2016,741
011216911000,2017,583
011216911000,2018,888
011216911000,2019,1687
011216911000,2020,263
011216915000,2005,69
011216915000,2006,25
011216915000,2007,47
011216915000,2008,40
011216915000,2009,75
011216915000,2010,53
011216915000,2011,90
011216915000,2012,69
011216915000,2013,45
011216915000,2014,64
011216915000,2015,43
011216915000,2016,234
011216915000,2017,74
011216915000,2018,27
011216915000,2019,46
011216915000,2020,2
011216917000,2005,5634
011216917000,2006,6154
011216917000,2007,4411
011216917000,2008,4475
011216917000,2009,3894
011216917000,2010,4857
011216917000,2011,3993
011216917000,2012,4800
011216917000,2013,5779
011216917000,2014,5842
011216917000,2015,6830
011216917000,2016,8143
011216917000,2017,10242
011216917000,2018,12934
011216917000,2019,18361
011216917000,2020,3111
012414402000,2005,371
012414402000,2006,729
012414402000,2007,231
012414402000,2008,253
012414402000,2009,297
012414402000,2010,346
012414402000,2011,560
012414402000,2012,685
012414402000,2013,274
012414402000,2014,675
012414402000,2015,502
012414402000,2016,1194
012414402000,2017,322
012414402000,2018,514
012414402000,2019,631
012414402000,2020,162
012414403000,2005,1196
012414403000,2006,747
012414403000,2007,999
012414403000,2008,1013
012414403000,2009,979
012414403000,2010,1301
012414403000,2011,820
012414403000,2012,1018
012414403000,2013,1224
012414403000,2014,1137
012414403000,2015,1477
012414403000,2016,2002
012414403000,2017,1728
012414403000,2018,1606
012414403000,2019,2044
012414403000,2020,438
012414417000,2005,18
012414417000,2006,44
012414417000,2007,35
012414417000,2008,91
012414417000,2009,60
012414417000,2010,30
012414417000,2011,19
012414417000,2012,52
012414417000,2013,34
012414417000,2014,25
012414417000,2015,64
012414417000,2016,142
012414417000,2017,117
012414417000,2018,156
012414417000,2019,166
012414417000,2020,32
012414461000,2005,1515
012414461000,2006,818
012414461000,2007,1482
012414461000,2008,1022
012414461000,2009,1002
012414461000,2010,1319
012414461000,2011,1018
012414461000,2012,1143
012414461000,2013,1465
012414461000,2014,2321
012414461000,2015,2425
012414461000,2016,2456
012414461000,2017,2894
012414461000,2018,2517
012414461000,2019,2433
012414461000,2020,566
012414507000,2005,31
012414507000,2006,52
012414507000,2007,36
012414507000,2008,60
012414507000,2009,61
012414507000,2010,69
012414507000,2011,74
012414507000,2012,66
012414507000,2013,122
012414507000,2014,102
012414507000,2015,141
